,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,image,trending,updated_github_id,github_release_downloads,monthly_downloads
10,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2023-03-07 06:25:08,2023-02-20 08:26:29,42.0,11.0,14.0,321.0,2021-12-12 13:38:44,0.4.0,1.0,A Streamlit component to render ECharts.,363.0,363.0,7.0,16,2.0,,https://github.com/andfanilo/streamlit-echarts/raw/develop/img/demo.gif,,,,
11,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2022-11-22 10:33:50,2022-07-09 20:01:38,67.0,2.0,6.0,315.0,,,,Simple web app example serving a PyTorch model using streamlit and FastAPI.,,,4.0,11,2.0,70.0,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,,,,
12,Insight,https://github.com/abhimishra91/insight,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2023-02-14 21:37:17,2021-06-15 04:34:46,42.0,4.0,4.0,294.0,,,,Repository for Project Insight: NLP as a Service.,,,2.0,10,2.0,128.0,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,,,,
13,Folium,https://share.streamlit.io/randyzwitch/streamlit-folium/examples/streamlit_app.py,randyzwitch/streamlit-folium,extension,True,https://github.com/randyzwitch/streamlit-folium,MIT,2020-07-17 16:13:51,2023-02-24 18:18:45,2023-02-24 18:18:44,43.0,12.0,41.0,263.0,2023-02-16 21:30:03,0.11.1,31.0,Streamlit Component for rendering Folium maps.,,,7.0,15,2.0,99.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f1f0d5c15373567513a6b42_streamlit_folium_example.jpg,,,,
14,Face-GAN Explorer,https://share.streamlit.io/streamlit/demo-face-gan/,streamlit/demo-face-gan,demo,True,https://github.com/streamlit/demo-face-gan,Apache-2.0,2020-02-03 17:15:17,2023-03-21 17:03:02,2023-03-21 17:03:02,144.0,3.0,28.0,262.0,,,,A demonstration of using a live Tensorflow session to create an interactive face-GAN explorer.,,,14.0,12,2.0,87.0,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed14fdf59392828954fa44d_5e11152b0227d05a0277ae20_gan_website_large.gif,,,,
15,Uber Pickups in NYC,https://share.streamlit.io/streamlit/demo-uber-nyc-pickups/,streamlit/demo-uber-nyc-pickups,demo,True,https://github.com/streamlit/demo-uber-nyc-pickups,Apache-2.0,2019-09-18 18:00:32,2023-03-13 14:08:06,2023-03-13 14:08:06,273.0,1.0,9.0,246.0,,,,A Streamlit demo to interactively visualize Uber pickups in New York City.,,,18.0,12,2.0,,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d215b6f4928a0997155_5e1115200227d0333277addb_uber_website_large.gif,,,,
16,chime soundboard,http://chime-soundboard.herokuapp.com/,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2023-03-06 22:25:50,2023-03-06 22:25:49,9.0,2.0,11.0,239.0,,,,Python sound notifications made easy.,85.0,85.0,6.0,13,1.0,,,,,,
17,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2022-04-03 03:43:14,2022-04-03 03:43:14,67.0,1.0,3.0,230.0,,,,A cheat sheet for streamlit.,,,5.0,11,1.0,75.0,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,,,,
18,net2net,https://github.com/CompVis/net2net,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2022-12-20 12:11:14,2021-04-20 07:27:09,20.0,5.0,2.0,213.0,,,,Network-to-Network Translation with Conditional Invertible Neural Networks.,,,2.0,7,2.0,46.0,,,,,
19,Pandas Profiling,https://github.com/okld/streamlit-pandas-profiling,okld/streamlit-pandas-profiling,extension,True,https://github.com/okld/streamlit-pandas-profiling,MIT,2020-06-27 17:22:56,2023-02-03 05:45:41,2021-12-07 19:20:16,20.0,2.0,16.0,208.0,,,,Pandas profiling component for Streamlit.,,,2.0,9,3.0,,https://raw.githubusercontent.com/okld/streamlit-pandas-profiling/master/examples/streamlit_pandas_profiling_demo.gif,-2.0,,,
20,Agraph,https://github.com/ChrisChross/streamlit-agraph,ChrisChross/streamlit-agraph,extension,True,https://github.com/ChrisDelClea/streamlit-agraph,MIT,2020-10-28 23:36:42,2023-01-28 13:13:02,2023-01-28 13:13:02,30.0,5.0,30.0,191.0,,,,A Streamlit Graph Vis.,171.0,171.0,5.0,14,2.0,56.0,https://github.com/ChrisChross/streamlit-agraph/raw/master/imgs/example2.png,,ChrisDelClea/streamlit-agraph,,
21,MQTT Camera Streamer,https://github.com/robmarkcole/mqtt-camera-streamer,robmarkcole/mqtt-camera-streamer,cv,True,https://github.com/robmarkcole/mqtt-camera-streamer,GPL-3.0,2019-07-21 03:48:41,2022-08-06 05:52:15,2022-07-05 04:17:42,46.0,12.0,15.0,189.0,2021-04-18 08:53:52,0.8,8.0,"Stream images from a connected camera over MQTT, view using Streamlit, record to file and sqlite.",,,,11,1.0,81.0,https://github.com/robmarkcole/mqtt-camera-streamer/raw/master/docs/images/viewer_usage.png,,,,
22,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,ideonate/cdsdashboards,extension,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2022-09-12 07:56:13,2022-09-12 07:55:08,37.0,32.0,59.0,184.0,,,,JupyterHub extension for ContainDS Dashboards.,,,14.0,10,3.0,464.0,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,,,,
23,Intent Example Finder,https://share.streamlit.io/rasahq/nlu-training-data/main,RasaHQ/NLU-training-data,nlp,True,https://github.com/RasaHQ/NLU-training-data,Apache-2.0,2019-10-30 13:48:33,2022-12-20 13:18:20,2021-08-16 07:32:35,114.0,3.0,17.0,180.0,,,,Crowd sourced training data for Rasa NLU models.,,,34.0,11,1.0,,https://github.com/RasaHQ/NLU-training-data/raw/main/dashboard.png,,,,
24,Ace,https://share.streamlit.io/okld/streamlit-ace/demo/,okld/streamlit-ace,extension,True,https://github.com/okld/streamlit-ace,MIT,2020-06-20 19:35:29,2023-01-07 04:47:11,2021-12-07 19:05:33,24.0,6.0,14.0,158.0,,,2.0,Ace editor component for Streamlit.,,,4.0,11,3.0,,https://raw.githubusercontent.com/okld/streamlit-ace/master/demo/streamlit_ace_demo.gif,-3.0,,3.0,0.0
25,Analytics,https://github.com/jrieke/streamlit-analytics,jrieke/streamlit-analytics,extension,True,https://github.com/jrieke/streamlit-analytics,MIT,2021-01-03 20:57:54,2023-03-10 22:22:59,2022-10-26 15:23:53,30.0,9.0,13.0,145.0,,,,Track & visualize user interactions with your streamlit app.,178.0,178.0,5.0,13,3.0,,https://github.com/jrieke/streamlit-analytics/raw/main/images/example.png,,,,
26,Bokeh Events,https://github.com/ash2shukla/streamlit-bokeh-events,ash2shukla/streamlit-bokeh-events,extension,True,https://github.com/ash2shukla/streamlit-bokeh-events,MIT,2020-07-18 21:27:06,2022-03-20 13:15:12,2022-03-20 13:15:12,26.0,6.0,6.0,131.0,,,,A streamlit component for bi-directional communication with bokeh plots.,342.0,342.0,4.0,14,2.0,32.0,https://github.com/ash2shukla/streamlit-bokeh-events/raw/master/assets/plots.gif,,,,
27,Year on Github,http://gh2020.jrieke.com/,jrieke/year-on-github,non-ml,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2022-01-05 22:25:39,2022-01-05 22:25:36,7.0,,1.0,130.0,,,,Share your Github stats for 2020 on Twitter.,,,2.0,7,3.0,,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,,,,
28,Graph App Kit,https://github.com/graphistry/graph-app-kit,graphistry/graph-app-kit,ml,True,https://github.com/graphistry/graph-app-kit,BSD-3-Clause,2020-08-18 22:02:45,2023-04-10 04:26:02,2023-02-18 06:32:18,16.0,27.0,11.0,119.0,,,,Go from graph data to a secure and interactive visual graph app in 15 minutes. Batteries-included self-hosting of..,,,7.0,11,2.0,305.0,https://user-images.githubusercontent.com/4249447/92298596-8e518600-eeff-11ea-8276-069281a4af93.png,,,,
29,3dmol,https://github.com/napoles-uach/streamlit_3dmol,napoles-uach/streamlit_3dmol,extension,True,https://github.com/napoles-uach/stmol,MIT,2020-07-29 19:00:23,2023-01-27 00:06:26,2023-01-27 00:06:26,18.0,6.0,7.0,118.0,,,,This project aims to provide an easy way to create a web app for interacting with molecular structures using Streamlit.,136.0,136.0,6.0,13,3.0,156.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f341f27935a5c69dd31edff_stmol_image.jpg,6.0,napoles-uach/stmol,,
30,Cropper,https://github.com/turner-anderson/streamlit-cropper,turner-anderson/streamlit-cropper,extension,True,https://github.com/turner-anderson/streamlit-cropper,MIT,2020-08-22 19:47:57,2022-12-28 07:38:43,2022-12-28 07:38:43,14.0,5.0,12.0,113.0,2021-12-31 05:59:22,0.2.0,1.0,A simple image cropper for Streamlit.,134.0,134.0,3.0,13,3.0,25.0,https://github.com/turner-anderson/streamlit-cropper/raw/master/img/demo.gif,,,,
31,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2023-01-31 09:55:36,2023-01-31 09:55:35,9.0,6.0,4.0,110.0,2022-08-01 12:55:40,0.6.0,11.0,Management Dashboard for Torchserve.,,,3.0,8,3.0,,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,,,,
32,Terran Timeline,https://github.com/pento-group/streamlit-terran-timeline/,pento-group/streamlit-terran-timeline,extension,True,https://github.com/pentoai/streamlit-terran-timeline,MIT,2020-08-05 14:54:15,2020-08-26 17:04:21,2020-08-26 17:04:20,11.0,3.0,1.0,104.0,,,,Using Terran for creating video timelines.,8.0,8.0,,10,3.0,24.0,https://raw.githubusercontent.com/pento-group/streamlit-terran-timeline/master/resources/animation.gif,,pentoai/streamlit-terran-timeline,,
33,Project Code,https://share.streamlit.io/gagan3012/project-code-py/app.py,gagan3012/project-code-py,non-ml,True,https://github.com/gagan3012/project-code-py,MIT,2021-03-03 14:11:33,2021-10-15 18:29:22,2021-10-15 18:29:22,20.0,5.0,2.0,100.0,,,,Leetcode using AI.,,,,9,2.0,105.0,https://user-images.githubusercontent.com/49101362/110356042-e69e4780-804a-11eb-94c6-a47fa3cd66b3.png,,,,
34,Finance Chart,https://streamlit-finance-chart.herokuapp.com/,paduel/streamlit_finance_chart,business,True,https://github.com/paduel/streamlit_finance_chart,GPL-3.0,2019-10-21 18:27:09,2022-07-06 20:19:53,2019-10-22 16:58:45,35.0,,1.0,96.0,,,,This app is a simple example of using Strealit to create a financial data web app.,,,,9,2.0,24.0,https://raw.githubusercontent.com/paduel/streamlit_finance_chart/master/sample.gif,,,,
35,Style transfer web app,https://github.com/amalshaji/style-transfer,amalshaji/style-transfer,cv,True,https://github.com/amalshaji/style-transfer,,2020-08-30 08:18:37,2022-08-06 05:52:48,2021-12-11 14:50:00,31.0,2.0,,96.0,,,,style transfer web app [FastAPI + streamlit + Docker].,,,4.0,7,2.0,19.0,,,,,
36,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2023-04-13 14:36:01,2021-12-01 21:12:58,13.0,2.0,3.0,91.0,2021-12-12 13:57:18,0.0.3,1.0,Streamlit component to render Lottie animations.,1720.0,1720.0,,15,2.0,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,,,,
37,Vega-Lite,https://github.com/domoritz/streamlit-vega-lite,domoritz/streamlit-vega-lite,extension,True,https://github.com/domoritz/streamlit-vega-lite,MIT,2020-09-02 16:53:49,2021-04-29 23:14:38,2021-04-29 23:14:38,5.0,8.0,8.0,78.0,,,,"A Streamlit component to render interactive Vega, Vega-Lite, and Altair visualizations and access the selected data..",40.0,40.0,4.0,11,3.0,37.0,https://github.com/domoritz/streamlit-vega-lite/raw/master/demo.gif,,,,
38,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2022-04-13 19:06:39,2022-03-18 12:06:01,13.0,5.0,6.0,78.0,,,,Streamlit tool to explore coco datasets.,,,3.0,7,2.0,62.0,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,,,,
39,Observable,https://streamlit-observable.herokuapp.com/,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2022-07-16 09:29:39,2020-10-15 02:21:37,15.0,2.0,1.0,76.0,,,,Embed Observable notebooks into Streamlit apps!.,29.0,29.0,6.0,11,3.0,22.0,,,,,
40,Object detection app,https://github.com/robmarkcole/object-detection-app,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2021-10-12 23:11:10,2019-12-23 15:30:59,39.0,2.0,,72.0,2019-12-23 15:34:56,0.3,3.0,Simple object detection app with streamlit.,,,,10,2.0,14.0,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,,,,
41,Global cities explorer,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/GlobalCities,asehmi/Data-Science-Meetup-Oxford,business,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2022-09-21 08:49:46,2022-09-21 08:49:37,17.0,,2.0,72.0,,,,Content shared at DS-OX Meetup.,,,2.0,6,3.0,44.0,https://github.com/asehmi/Data-Science-Meetup-Oxford/raw/master/GCFS-streamlit.png,-2.0,,,
42,Auth0 with Next.js,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/StreamlitComponent,asehmi/Data-Science-Meetup-Oxford,extension,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2022-09-21 08:49:46,2022-09-21 08:49:37,17.0,,2.0,72.0,,,,Content shared at DS-OX Meetup.,,,2.0,6,3.0,44.0,https://github.com/asehmi/Data-Science-Meetup-Oxford/blob/master/StreamlitComponent/doc_images/streamlitcomponent_demo.gif,-2.0,,,
43,Containerized App,https://github.com/collinprather/streamlit-docker,collinprather/streamlit-docker,non-ml,True,https://github.com/collinprather/streamlit-docker,,2020-02-24 22:23:24,2022-06-22 01:14:30,2021-05-01 23:39:18,26.0,,2.0,68.0,,,,Bare bones use-case for deploying a containerized web app (built in streamlit) on AWS.,,,,7,3.0,8.0,https://github.com/collinprather/streamlit-docker/raw/master/images/app.gif,,,,
44,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2021-05-24 22:44:42,2021-05-24 22:44:22,13.0,2.0,4.0,64.0,,,,A streamlit component to embed video and music players from various websites.,307.0,307.0,,12,3.0,,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,6.0,,,
45,TechSEO Crawler,https://github.com/jroakes/tech-seo-crawler,jroakes/tech-seo-crawler,business,True,https://github.com/jroakes/tech-seo-crawler,MIT,2019-11-14 12:55:35,2023-02-11 01:22:08,2022-09-30 11:50:42,8.0,,,60.0,,,,"Build a small, 3 domain internet using Github pages and Wikipedia and construct a crawler to crawl, render, and index.",,,2.0,9,2.0,61.0,https://raw.githubusercontent.com/jroakes/tech-seo-crawler/master/etc/images/screenshot.png,,,,
46,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,16.0,1.0,1.0,58.0,,,,D3 in React in Streamlit tech demo.,13.0,13.0,3.0,11,3.0,26.0,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,,,,
47,Goodreads App,https://share.streamlit.io/tylerjrichards/streamlit_goodreads_app/books.py,tylerjrichards/streamlit_goodreads_app,non-ml,True,https://github.com/tylerjrichards/streamlit_goodreads_app,,2020-09-30 00:46:41,2022-12-27 23:11:41,2022-12-27 23:11:39,49.0,,4.0,58.0,,,,Analyzing Your Goodreads Reading Habits.,,,7.0,8,3.0,56.0,,,,,
48,StockAnalysisApp,https://essential-stock-analysis.herokuapp.com/,antonio-catalano/StockAnalysisApp,business,True,https://github.com/antonio-catalano/StockAnalysisApp,Apache-2.0,2019-10-24 16:05:56,2019-11-13 01:04:19,2019-11-13 01:04:05,25.0,2.0,,57.0,,,,A stock analysis app with streamlit.,,,,10,1.0,22.0,,,,,
49,Timeline,https://www.innerdoc.com/nlp-timeline-demo/,innerdoc/streamlit-timeline,extension,True,https://github.com/innerdoc/streamlit-timeline,MIT,2021-02-10 08:06:30,2021-02-10 09:52:31,2021-02-10 09:52:21,10.0,2.0,1.0,55.0,,,,A simple Streamlit Component to display a Timeline in Streamlit apps. It integrates Knightlab's TimelineJS.,59.0,59.0,2.0,10,3.0,,https://github.com/innerdoc/streamlit-timeline/raw/main/example.png,,,,
50,Raylab,https://github.com/angelolovatto/raylab,angelolovatto/raylab,ml,True,https://github.com/0xangelo/raylab,MIT,2019-09-12 13:50:53,2023-02-16 04:26:59,2022-06-17 00:45:53,10.0,1.0,4.0,52.0,,,1.0,Reinforcement learning algorithms in RLlib.,2.0,2.0,7.0,12,1.0,2656.0,https://camo.githubusercontent.com/cec5409c95fcb5523288931681b52e607ff466407efb27820636d031042afb05/68747470733a2f2f692e696d6775722e636f6d2f625663365743352e706e67,,0xangelo/raylab,,
51,Wildfire Detection,https://github.com/yueureka/WildFireDetection,yueureka/WildFireDetection,cv,True,https://github.com/yueureka/WildFireDetection,CC0-1.0,2020-06-09 03:56:49,2023-03-24 23:40:15,2020-06-20 15:02:55,20.0,,1.0,52.0,,,,Using U-Net Model to Detect Wildfire from Satellite Imagery.,,,5.0,9,2.0,59.0,https://github.com/yueureka/WildFireDetection/raw/master/Pictures/App2.png,,,,
52,FarolCovid,https://farolcovid.coronacidades.org/,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2022-06-23 18:16:11,2022-06-23 18:16:11,17.0,11.0,36.0,51.0,,,,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,,,19.0,10,1.0,1063.0,,,,,
53,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,zachrenwick/streamlit_forecasting_app,business,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2022-10-21 23:11:21,2022-10-21 23:11:14,29.0,1.0,2.0,48.0,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,3.0,10,1.0,36.0,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,,,,
54,Arup Social Data,https://share.streamlit.io/arup-group/eviction-data/run.py,arup-group/social-data,non-ml,True,https://github.com/arup-group/social-data,MIT,2020-08-10 13:42:29,2023-03-08 22:15:56,2023-03-08 22:15:23,20.0,5.0,4.0,47.0,,,,Code and data for eviction and housing analysis in the US.,,,11.0,11,1.0,249.0,,,,,
55,MiniClip,https://ganpaint.io/miniclip/,HendrikStrobelt/miniClip,cv,True,https://github.com/HendrikStrobelt/miniClip,Apache-2.0,2021-03-06 16:04:44,2021-03-08 11:43:23,2021-03-08 11:43:23,3.0,2.0,,46.0,,,,A quick demo to explore text descriptions and saliency maps for Clip models.,,,2.0,7,2.0,,https://raw.githubusercontent.com/HendrikStrobelt/miniClip/main/assets/miniclip_teaser.jpg?token=AAHIFTT5T6SXWBJMICS2OM3AJ44CA,,,,
56,Genetic Ancestry,http://ezancestry.herokuapp.com/,arvkevi/ezancestry,sci-tech,True,https://github.com/arvkevi/ezancestry,MIT,2020-05-11 00:45:27,2022-12-09 05:56:00,2022-05-13 23:16:52,9.0,10.0,6.0,44.0,2022-05-13 23:19:58,0.0.7,7.0,Easy genetic ancestry predictions in Python.,,,2.0,10,1.0,78.0,https://github.com/arvkevi/ezancestry/raw/master/images/ezancestry.png,,,,
57,Indian ALPR System,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,udaylunawat/Automatic-License-Plate-Recognition,cv,True,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,Apache-2.0,2020-05-14 08:10:04,2022-11-21 22:52:59,2021-05-01 03:24:52,8.0,2.0,,42.0,,,,Source code of ALPR (Automatic License Plate Recognition System).,,,2.0,9,2.0,195.0,https://camo.githubusercontent.com/d1ead79cb4338307cff2eb72ec89ec57da5e002feb9432c8b5a4586c730c2290/68747470733a2f2f6d656469612e67697068792e636f6d2f6d656469612f6944784d6970745976666a42714a786447792f67697068792e676966,,,,
58,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2021-05-17 19:02:53,2021-05-17 18:58:59,8.0,1.0,2.0,40.0,2021-05-17 19:02:53,0.1.2,5.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",237.0,237.0,2.0,14,2.0,26.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,,,5.0,0.0
59,Rick & Morty Generator,https://share.streamlit.io/e-tony/story_generator/main/app.py,e-tony/Story_Generator,nlp,True,https://github.com/e-tornike/Story_Generator,MIT,2020-10-26 20:53:41,2023-02-20 10:11:58,2023-02-20 10:11:57,9.0,,1.0,38.0,,,,A Streamlit web app that generates Rick and Morty stories using GPT2.,,,,9,2.0,,,,e-tornike/Story_Generator,,
